original_path,final_path,media_type,date_folder,location,location_source,duplicate_of
E:\Drone\100_0176_20230221174615.mov,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\100_0176_20230221174615.mov",video,2023-02-21,"South Highpoint, Florida, US",same-day,
E:\Drone\100_0176_20230221174638.jpg,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\100_0176_20230221174638.jpg",photo,2023-02-21,"South Highpoint, Florida, US",same-day,
E:\Drone\100_0176_20230221175119.jpg,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\100_0176_20230221175119.jpg",photo,2023-02-21,"South Highpoint, Florida, US",same-day,
E:\Drone\104MEDIA_20230305133741.jpg,E:\Drone\__reorganized_tmp__\Lake Seminole\2023-03-05\104MEDIA_20230305133741.jpg,photo,2023-03-05,Lake Seminole,same-day,
E:\Drone\20221225_093852_549.mp4,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221225_093852_549.mp4,video,2022-12-26,Unknown Location,fallback,
E:\Drone\20221225_094219_047.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-25\20221225_094219_047.jpg,photo,2022-12-25,Unknown Location,fallback,
E:\Drone\20221225_094236_252.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-25\20221225_094236_252.jpg,photo,2022-12-25,Unknown Location,fallback,
E:\Drone\20221225_094239_528.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-25\20221225_094239_528.jpg,photo,2022-12-25,Unknown Location,fallback,
E:\Drone\20221225_094246_324.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-25\20221225_094246_324.jpg,photo,2022-12-25,Unknown Location,fallback,
E:\Drone\20221225_094257_131.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-25\20221225_094257_131.jpg,photo,2022-12-25,Unknown Location,fallback,
E:\Drone\20221226_012411_602.mp4,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_012411_602.mp4,video,2022-12-26,Unknown Location,fallback,
E:\Drone\20221226_014516_200.mp4,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_014516_200.mp4,video,2022-12-26,Unknown Location,fallback,
E:\Drone\20221226_014635_840.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_014635_840.jpg,photo,2022-12-26,Unknown Location,fallback,
E:\Drone\20221226_014701_940.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_014701_940.jpg,photo,2022-12-26,Unknown Location,fallback,
E:\Drone\20221226_014705_458.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_014705_458.jpg,photo,2022-12-26,Unknown Location,fallback,
E:\Drone\20221226_022336_297.mp4,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_022336_297.mp4,video,2022-12-26,Unknown Location,fallback,
E:\Drone\20221226_022954_798.mp4,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_022954_798.mp4,video,2022-12-26,Unknown Location,fallback,
E:\Drone\20221226_022959_010.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_022959_010.jpg,photo,2022-12-26,Unknown Location,fallback,
E:\Drone\20221226_023021_959.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_023021_959.jpg,photo,2022-12-26,Unknown Location,fallback,
E:\Drone\20221226_023041_533.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_023041_533.jpg,photo,2022-12-26,Unknown Location,fallback,
E:\Drone\20221226_023045_318.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_023045_318.jpg,photo,2022-12-26,Unknown Location,fallback,
E:\Drone\20221226_023049_132.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_023049_132.jpg,photo,2022-12-26,Unknown Location,fallback,
E:\Drone\20221226_124036_745.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_124036_745.jpg,photo,2022-12-26,Unknown Location,fallback,
E:\Drone\20221226_124114_403.mp4,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_124114_403.mp4,video,2022-12-26,Unknown Location,fallback,
E:\Drone\20230127_200615_001s0.mp4,E:\Drone\__reorganized_tmp__\Ahq\1904-01-01\20230127_200615_001s0.mp4,video,1904-01-01,Ahq,nearest-time,
E:\Drone\caledesi-island-3-12.jpg,"E:\Drone\__reorganized_tmp__\Dunedin, Florida, US\2023-03-12\caledesi-island-3-12.jpg",photo,2023-03-12,"Dunedin, Florida, US",gps,
E:\Drone\caledesi-island-DeNoiseAI-standard.jpg,"E:\Drone\__reorganized_tmp__\Dunedin, Florida, US\2023-02-25\caledesi-island-DeNoiseAI-standard.jpg",photo,2023-02-25,"Dunedin, Florida, US",gps,
E:\Drone\caledesi-island.jpg,"E:\Drone\__reorganized_tmp__\Dunedin, Florida, US\2023-02-25\caledesi-island.jpg",photo,2023-02-25,"Dunedin, Florida, US",gps,
E:\Drone\DJI_0025.MP4,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-03-01\DJI_0025.MP4",video,2023-03-01,"South Highpoint, Florida, US",same-day,
E:\Drone\DJI_0026.MP4,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-03-01\DJI_0026.MP4",video,2023-03-01,"South Highpoint, Florida, US",same-day,
E:\Drone\DJI_0027.MP4,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-03-01\DJI_0027.MP4",video,2023-03-01,"South Highpoint, Florida, US",same-day,
E:\Drone\DJI_0028.MP4,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-03-01\DJI_0028.MP4",video,2023-03-01,"South Highpoint, Florida, US",same-day,
E:\Drone\DJI_0105.MP4,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-03-03\DJI_0105.MP4",video,2023-03-03,"South Highpoint, Florida, US",nearest-time,
E:\Drone\DJI_0297_160x.mp4,E:\Drone\__reorganized_tmp__\Ahq\1904-01-01\DJI_0297_160x.mp4,video,1904-01-01,Ahq,nearest-time,
