source_path,final_path,status,date_folder,location,location_source,matched_existing
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0708.JPG,"E:\Drone\Sarasota, Florida, US\2023-06-25\DJI_0708.JPG",moved,2023-06-25,"Sarasota, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0709.JPG,"E:\Drone\Sarasota, Florida, US\2023-06-25\DJI_0709.JPG",moved,2023-06-25,"Sarasota, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0710.JPG,"E:\Drone\Sarasota, Florida, US\2023-06-25\DJI_0710.JPG",moved,2023-06-25,"Sarasota, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0711.JPG,"E:\Drone\Sarasota, Florida, US\2023-06-25\DJI_0711.JPG",moved,2023-06-25,"Sarasota, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0712.JPG,"E:\Drone\Sarasota, Florida, US\2023-06-25\DJI_0712.JPG",moved,2023-06-25,"Sarasota, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0714.JPG,"E:\Drone\Sarasota, Florida, US\2023-06-25\DJI_0714.JPG",moved,2023-06-25,"Sarasota, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0715.JPG,"E:\Drone\Sarasota, Florida, US\2023-06-25\DJI_0715.JPG",moved,2023-06-25,"Sarasota, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0716.JPG,"E:\Drone\Sarasota, Florida, US\2023-06-25\DJI_0716.JPG",moved,2023-06-25,"Sarasota, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0717.JPG,"E:\Drone\Sarasota, Florida, US\2023-06-25\DJI_0717.JPG",moved,2023-06-25,"Sarasota, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0719.JPG,"E:\Drone\Siesta Key, Florida, US\2023-06-25\DJI_0719.JPG",moved,2023-06-25,"Siesta Key, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0720.JPG,"E:\Drone\Siesta Key, Florida, US\2023-06-25\DJI_0720.JPG",moved,2023-06-25,"Siesta Key, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0721.JPG,"E:\Drone\Siesta Key, Florida, US\2023-06-25\DJI_0721.JPG",moved,2023-06-25,"Siesta Key, Florida, US",gps,
